text,actors,directors,label
steve mcqueen provided a thrilling motorcycle chase in this greatest of all ww 2 prison escape movies,['steve mcqueen'],[],1
liza minnelli and joel gray won oscars for their roles in this 1972 movie that follows nightclub entertainers in berlin as the nazis come to power,"['liza minnelli', 'joel gray']",[],1
what is that tom hanks and julia roberts movie about hanks who plays a down on his luck average guy who goes back to college and gets taught by roberts,"['tom hanks', 'julia roberts']",[],0
what is the movie making fun of macgyver by re enacting scenes similar to his movies,[],[],1
i am thinking of an animated film based on a classic theodor geisel children s novel about a young boy s quest to save the trees,[],[],1
what 1981 feature film starring mel gibson takes place in a post apocalyptic world in australia,['mel gibson'],[],1
this steven speilberg supernatural story of a haunted house made many filmgoers afraid of clowns,[],['steven speilberg'],1
in what 1997 movie is there a scene featuring muscians playing on the deck of a ship,[],[],1
what s the movie with julie andre where she sings and flies with an umbrella and dick van dyke,"['julie andre', 'dick van dyke']",[],1
what is the movie where jbiebs does his concerts,['jbiebs'],[],1
what was banksy the star and director doing before he created this film,[],['banksy'],0
john travolta had that one scene where he had to jam the saving rod into a woman s chest,['john travolta'],[],0
what is the 1959 american thriller film directed by alfred hitchcock and starring cary grant and eva marie saint,"['cary grant', 'eva marie saint']",['alfred hitchcock'],1
i m thinking of an 80 s comedy film that stars dustin hoffman and terri garr where hoffman s character dresses up as a woman to land a job,"['dustin hoffman', 'terri garr']",[],1
what movie is about a teenage boy getting bit by a radioactive arachnid and gaining super powers,[],[],1
i am thinking of a blockbuster science fiction film that stars will smith and tommy lee jones as undercover agents who fight intergalactic beings,"['will smith', 'tommy lee jones']",[],1
i am thinking of a film in which a little girl s house accidentally lands on top of a witch and the witches sister vows revenge,[],[],0
what baseball film starring dennis quaid is based on the true story of pitcher jim morris,['dennis quaid'],[],1
a 1939 movie adaptation of 1000 plus page book starring clark gable and vivien leigh,"['clark gable', 'vivien leigh']",[],1
what movie was inspired by a very famous song by the beatles and written by paul mccartney,[],[],1
i m thinking of a movie where the wimpy main character befriends a fierce animal to the dismay of his viking community,[],[],0
what film did billy bob thornton win an oscar for writing,['billy bob thornton'],[],1
what 1979 musical is loosely based on the life and career of the film s director bob fosse,[],['bob fosse'],0
while shooting this pivotal counterculture film paul newman was said to have eaten over fifty boiled eggs in a single afternoon,['paul newman'],[],0
what 2012 movie revived the american pie chain by bringing back jason biggs alyson hannigan and most of the rest of the cast from the original film,"['jason biggs', 'alyson hannigan']",[],1
